Medication cateogory,Short name,Code type,Code,Description
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320442002,Salbutamol 100micrograms/dose / Ipratropium 20micrograms/dose inhaler
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320445000,Salbutamol 2.5mg/2.5ml / Ipratropium bromide 500micrograms/2.5ml nebuliser liquid unit dose vials
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320543009,Salbutamol 400microgram / Beclometasone 200microgram inhalation powder capsules
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320544003,Salbutamol 200microgram / Beclometasone 100microgram inhalation powder capsules
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320545002,Salbutamol 100micrograms/dose / Beclometasone 50micrograms/dose inhaler
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320660007,Sodium cromoglicate 1mg/dose / Salbutamol 100micrograms/dose inhaler with spacer
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320661006,Sodium cromoglicate 1mg/dose / Salbutamol 100micrograms/dose inhaler
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,349394001,Fenoterol 1.25mg/4ml / Ipratropium 500micrograms/4ml nebuliser liquid unit dose vials
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,7511000001105,Salbutamol 100micrograms/dose inhaler CFC free (Actavis UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,28011000001107,Monovent 1.5mg/5ml syrup (Sandoz Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,45111000001100,Salbutamol 100micrograms/dose inhaler CFC free (Viatris UK Healthcare Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,52811000001102,Salbutamol 4mg tablets (Alliance Healthcare (Distribution) Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,101011000001104,Bricanyl 2.5mg/5ml solution for injection ampoules (AstraZeneca UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,106511000001103,Salamol 100micrograms/dose inhaler CFC free (Teva UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,109751000001104,Fenoterol 1.25mg/4ml / Ipratropium 500micrograms/4ml nebuliser liquid unit dose vials
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,110651000001100,Salbutamol 2.5mg/2.5ml / Ipratropium bromide 500micrograms/2.5ml nebuliser liquid unit dose vials
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,111271000001104,Salbutamol 5mg/ml nebuliser liquid
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,111351000001100,Salbutamol 5mg/2.5ml nebuliser liquid unit dose vials
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,111431000001100,Salbutamol 4mg tablets
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,111961000001101,Salbutamol 2.5mg/2.5ml nebuliser liquid unit dose vials
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,112121000001102,Salbutamol 400microgram / Beclometasone 200microgram inhalation  powder capsules
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,112651000001104,Salbutamol 200microgram inhalation powder capsules
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,113271000001103,Salbutamol 400microgram inhalation powder capsules
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,113751000001100,Terbutaline 10mg/ml nebuliser liquid
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,161111000001102,Salbutamol 2mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,161811000001109,Salbutamol 2mg tablets (Kent Pharma (UK) Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,189411000001105,Salbutamol 100micrograms/dose inhaler CFC free (Alliance Healthcare (Distribution) Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,194411000001107,Salbutamol 4mg tablets (Accord Healthcare Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,196411000001104,Volmax 4mg modified-release tablets (GlaxoSmithKline UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,221511000001100,Salbutamol 2mg/5ml oral solution sugar free (Sandoz Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,222311000001102,Ventolin 100micrograms/dose Evohaler (GlaxoSmithKline UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,225511000001102,Terbutaline 1.5mg/5ml oral solution sugar free (Kent Pharma (UK) Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,248411000001109,Terbutaline 1.5mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,258311000001100,Salbutamol 4mg tablets (Kent Pharma (UK) Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,262711000001105,Salbutamol 4mg tablets (A A H Pharmaceuticals Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,273911000001107,Salbutamol 4mg tablets (Approved Prescription Services Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,281511000001105,Ventmax SR 8mg capsules (Chiesi Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,287611000001100,Salbutamol 2mg tablets (Approved Prescription Services Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,364811000001103,Bricanyl SA 7.5mg tablets (AstraZeneca UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,375711000001100,Bambec 10mg tablets (AstraZeneca UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,408911000001105,Serevent 25micrograms/dose inhaler (GlaxoSmithKline UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,453611000001102,Seretide 50 Evohaler (GlaxoSmithKline UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,506611000001108,Salbutamol 2mg tablets (Accord Healthcare Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,539811000001106,Seretide 250 Evohaler (GlaxoSmithKline UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,571311000001104,Salbutamol 100micrograms/dose inhaler CFC free (A A H Pharmaceuticals Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,597011000001101,Airomir 100micrograms/dose inhaler (Teva UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,626411000001107,Ventmax SR 4mg capsules (Chiesi Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,650211000001107,Salapin 2mg/5ml syrup (Pinewood Healthcare)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,659111000001106,Salbutamol 2mg tablets (A A H Pharmaceuticals Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,691211000001105,Bricanyl 500micrograms/1ml solution for injection ampoules (AstraZeneca UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,726111000001105,Bricanyl 1.5mg/5ml syrup (AstraZeneca UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,738811000001100,Bricanyl 5mg tablets (AstraZeneca UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,757611000001104,Salbutamol 100micrograms/dose inhaler CFC free (Teva UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,803911000001107,Salbutamol 2mg/5ml oral solution sugar free (Alliance Healthcare  (Distribution) Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,809411000001102,Bambec 20mg tablets (AstraZeneca UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,810211000001105,Seretide 125 Evohaler (GlaxoSmithKline UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,831811000001109,Volmax 8mg modified-release tablets (GlaxoSmithKline UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,840111000001107,Salbulin 100micrograms/dose inhaler (3M Health Care Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,886111000001103,Ventolin 5mg/5ml solution for infusion ampoules (GlaxoSmithKline UK  Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,892011000001102,Ventolin 2mg/5ml syrup (GlaxoSmithKline UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,896511000001106,Salbutamol 2mg/5ml oral solution sugar free (Kent Pharma (UK) Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,921311000001107,Salbutamol 2mg tablets (Alliance Healthcare (Distribution) Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,2831711000001102,Bricanyl 10mg/ml respirator solution (AstraZeneca UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,2923111000001107,Duovent inhaler (Boehringer Ingelheim Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,2964011000001104,Duovent Autohaler (Boehringer Ingelheim Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3080411000001101,Ventodisks 200microgram with Diskhaler (GlaxoSmithKline UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3082411000001100,Serevent 50microgram disks (GlaxoSmithKline UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3083011000001100,Ventodisks 400microgram with Diskhaler (GlaxoSmithKline UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3084011000001103,Serevent 50microgram disks with Diskhaler (GlaxoSmithKline UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3086111000001109,Ventodisks 200microgram (GlaxoSmithKline UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3089011000001102,Ventodisks 400microgram (GlaxoSmithKline UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3186011000001104,Asmasal 95micrograms/dose Clickhaler (Focus Pharmaceuticals Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3186911000001100,Seretide 100 Accuhaler (GlaxoSmithKline UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3187211000001106,Seretide 250 Accuhaler (GlaxoSmithKline UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3188311000001102,Seretide 500 Accuhaler (GlaxoSmithKline UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3200511000001109,Ventide Paediatric Rotacaps (GlaxoSmithKline UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3202211000001107,Ventide Rotacaps (GlaxoSmithKline UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3206811000001109,Foradil 12microgram inhalation powder capsules with device (Novartis  Pharmaceuticals UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3214211000001100,Ventolin 200microgram Rotacaps (GlaxoSmithKline UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3214311000001108,Airomir 100micrograms/dose Autohaler (Teva UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3214611000001103,Salbutamol 200 Cyclocaps (Teva UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3215311000001107,Salamol 100micrograms/dose Easi-Breathe inhaler (Teva UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3217611000001109,Salbutamol 400 Cyclocaps (Teva UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3218011000001101,Ventolin 400microgram Rotacaps (GlaxoSmithKline UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3218311000001103,Bricanyl 500micrograms/dose Turbohaler (AstraZeneca UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3235011000001104,Aerocrom inhaler (Castlemead Healthcare Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3243511000001107,Oxis 6 Turbohaler (AstraZeneca UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3245011000001103,Oxis 12 Turbohaler (AstraZeneca UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3248011000001106,Bricanyl 250micrograms/dose inhaler (AstraZeneca UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3248711000001108,Bricanyl 250micrograms/dose spacer inhaler (AstraZeneca UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3292811000001106,Ventide inhaler (GlaxoSmithKline UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3293111000001105,Aerolin 100micrograms/dose Autohaler (3M Health Care Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3294211000001101,Symbicort 100/6 Turbohaler (AstraZeneca UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3294611000001104,Symbicort 200/6 Turbohaler (AstraZeneca UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3348611000001107,Combivent inhaler (Boehringer Ingelheim Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3379611000001104,Salbutamol 5mg/2.5ml nebuliser liquid unit dose vials (A A H  Pharmaceuticals Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3380111000001107,Serevent 50micrograms/dose Accuhaler (GlaxoSmithKline UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3380811000001100,Maxivent 5mg/2.5ml nebuliser liquid unit dose Steripoule vials (Ashbourne  Pharmaceuticals Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3381111000001101,Salbutamol 5mg/2.5ml nebuliser liquid unit dose vials (Viatris UK  Healthcare Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3381811000001108,Ventolin 5mg Nebules (GlaxoSmithKline UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3382711000001107,Ventolin 200micrograms/dose Accuhaler (GlaxoSmithKline UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3383511000001109,Salamol 5mg/2.5ml nebuliser liquid Steri-Neb unit dose vials (Teva UK  Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3384111000001103,Pulvinal Salbutamol 200micrograms/dose dry powder inhaler (Chiesi Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3385711000001103,Salbutamol 2.5mg/2.5ml nebuliser liquid unit dose vials (A A H  Pharmaceuticals Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3386411000001100,Maxivent 2.5mg/2.5ml nebuliser liquid unit dose Steripoule vials  (Ashbourne Pharmaceuticals Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3386811000001103,Salbutamol 2.5mg/2.5ml nebuliser liquid unit dose vials (Viatris UK  Healthcare Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3387011000001107,Ventolin 2.5mg Nebules (GlaxoSmithKline UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3387511000001104,Salamol 2.5mg/2.5ml nebuliser liquid Steri-Neb unit dose vials (Teva UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3406011000001104,Combivent nebuliser liquid 2.5ml UDVs (Boehringer Ingelheim Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3408611000001107,Salbutamol 100micrograms/dose inhaler (A A H Pharmaceuticals Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3410611000001106,Salbutamol 100micrograms/dose inhaler (Viatris UK Healthcare Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3412611000001107,Salbutamol 100micrograms/dose inhaler (Kent Pharma (UK) Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3415711000001107,Salbutamol 100micrograms/dose inhaler (Sandoz Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3417111000001102,Salbutamol 100micrograms/dose inhaler (Alliance Healthcare (Distribution) Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3633911000001104,Bricanyl 5mg/2ml Respules (AstraZeneca UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3654411000001106,Terbutaline 5mg/2ml nebuliser liquid unit dose vials
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,3926911000001108,Ventolin 500micrograms/1ml solution for injection ampoules (GlaxoSmithKline UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,4179611000001107,Aerocrom Syncroner with spacer (Castlemead Healthcare Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,4192411000001109,Duovent UDVs nebuliser liquid 4ml (Boehringer Ingelheim Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,4373811000001100,Symbicort 400/12 Turbohaler (AstraZeneca UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,4378111000001103,Budesonide 400micrograms/dose / Formoterol 12micrograms/dose dry powder inhaler
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,4537611000001107,Berotec 200micrograms/dose inhaler (Boehringer Ingelheim Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,4558411000001107,Fenoterol 200micrograms/dose inhaler
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,4843911000001107,Ventolin 5mg/ml respirator solution (GlaxoSmithKline UK Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,4889111000001103,Salbutamol 5mg/50ml solution for infusion vials (Martindale Pharmaceuticals Ltd)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,5257611000001105,Bricanyl 250micrograms/dose inhaler (Waymade Healthcare Plc)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,5257911000001104,Bricanyl 500micrograms/dose Turbohaler (Waymade Healthcare Plc)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,5259111000001108,Combivent inhaler (Waymade Healthcare Plc)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,5271811000001100,Oxis 12 Turbohaler (Waymade Healthcare Plc)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,5272211000001108,Oxis 6 Turbohaler (Waymade Healthcare Plc)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,5275011000001108,Salmeterol 25micrograms/dose inhaler (Waymade Healthcare Plc)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,5275311000001106,Serevent 25micrograms/dose inhaler (Waymade Healthcare Plc)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,5275611000001101,Seretide 100 Accuhaler (Waymade Healthcare Plc)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,5276011000001104,Seretide 250 Accuhaler (Waymade Healthcare Plc)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,5276211000001109,Seretide 500 Accuhaler (Waymade Healthcare Plc)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,5276511000001107,Serevent 50micrograms/dose Accuhaler (Waymade Healthcare Plc)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,5276811000001105,Seretide 250 Evohaler (Waymade Healthcare Plc)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,5277211000001106,Symbicort 200/6 Turbohaler (Waymade Healthcare Plc)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,5277411000001105,Terbutaline 250micrograms/dose inhaler (Waymade Healthcare Plc)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,5277911000001102,Ventolin 100micrograms/dose Evohaler (Waymade Healthcare Plc)
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,5278711000001103,Ventide inhaler (Waymade Healthcare Plc)
