Medicaiton category,Short name,Code type,Code,Description
Inhaled corticosteroid,ICS,dm+d,320537007,Beclometasone dipropionate 100 microgram/actuation pressurised solution  for inhalation
Inhaled corticosteroid,ICS,dm+d,320543009,Salbutamol 400microgram / Beclometasone 200microgram inhalation  powder capsules
Inhaled corticosteroid,ICS,dm+d,320544003,Salbutamol 200microgram / Beclometasone 100microgram inhalation  powder capsules
Inhaled corticosteroid,ICS,dm+d,320545002,Salbutamol 100micrograms/dose / Beclometasone 50micrograms/dose inhaler
Inhaled corticosteroid,ICS,dm+d,320565009,Budesonide 100micrograms/dose dry powder inhaler
Inhaled corticosteroid,ICS,dm+d,320567001,Budesonide 200micrograms/dose dry powder inhaler
Inhaled corticosteroid,ICS,dm+d,320568006,Budesonide 400micrograms/dose dry powder inhaler
Inhaled corticosteroid,ICS,dm+d,320571003,Budesonide 200micrograms/dose inhaler
Inhaled corticosteroid,ICS,dm+d,320574006,Budesonide 50micrograms/dose inhaler
Inhaled corticosteroid,ICS,dm+d,320580003,Fluticasone propionate 50microgram inhalation powder blisters with device
Inhaled corticosteroid,ICS,dm+d,320581004,Fluticasone propionate 100microgram inhalation powder blisters with device
Inhaled corticosteroid,ICS,dm+d,320582006,Fluticasone propionate 250microgram inhalation powder blisters with device
Inhaled corticosteroid,ICS,dm+d,320586009,Fluticasone propionate 50microgram inhalation powder blisters
Inhaled corticosteroid,ICS,dm+d,320587000,Fluticasone propionate 100microgram inhalation powder blisters
Inhaled corticosteroid,ICS,dm+d,320588005,Fluticasone propionate 250microgram inhalation powder blisters
Inhaled corticosteroid,ICS,dm+d,320592003,Fluticasone 25micrograms/dose inhaler
Inhaled corticosteroid,ICS,dm+d,320599007,Fluticasone propionate 500microgram inhalation powder blisters with device
Inhaled corticosteroid,ICS,dm+d,320600005,Fluticasone propionate 500microgram inhalation powder blisters
Inhaled corticosteroid,ICS,dm+d,320602002,Fluticasone propionate 50micrograms breath-actuated dry powder inhaler
Inhaled corticosteroid,ICS,dm+d,320603007,Fluticasone propionate 100micrograms breath-actuated dry powder inhaler
Inhaled corticosteroid,ICS,dm+d,320604001,Fluticasone propionate 250micrograms/dose dry powder inhaler
Inhaled corticosteroid,ICS,dm+d,320605000,Fluticasone propionate 500micrograms breath-actuated dry powder inhaler
Inhaled corticosteroid,ICS,dm+d,320610001,Fluticasone 500micrograms/2ml nebuliser liquid unit dose vials
Inhaled corticosteroid,ICS,dm+d,320611002,Fluticasone 2mg/2ml nebuliser liquid unit dose vials
Inhaled corticosteroid,ICS,dm+d,320614005,Fluticasone propionate 125micrograms CFC-free inhaler
Inhaled corticosteroid,ICS,dm+d,320615006,Fluticasone propionate 250micrograms CFC-free inhaler
Inhaled corticosteroid,ICS,dm+d,320618008,Fluticasone propionate 50micrograms CFC-free inhaler
Inhaled corticosteroid,ICS,dm+d,320630002,Beclometasone 50micrograms/dose dry powder inhaler
Inhaled corticosteroid,ICS,dm+d,320631003,Beclometasone 100micrograms/dose dry powder inhaler
Inhaled corticosteroid,ICS,dm+d,320632005,Beclometasone 250micrograms/dose dry powder inhaler
Inhaled corticosteroid,ICS,dm+d,407769008,Beclometasone 400micrograms/dose dry powder inhaler
Inhaled corticosteroid,ICS,dm+d,407770009,Beclometasone 200micrograms/dose dry powder inhaler
Inhaled corticosteroid,ICS,dm+d,408013007,Mometasone furoate 400micrograms breath-actuated dry powder inhaler
Inhaled corticosteroid,ICS,dm+d,408026006,Mometasone furoate 200micrograms breath-actuated dry powder inhaler
Inhaled corticosteroid,ICS,dm+d,408061000,Beclometasone 50micrograms/dose inhaler CFC free
Inhaled corticosteroid,ICS,dm+d,408062007,Beclometasone 50micrograms/dose breath actuated inhaler CFC free
Inhaled corticosteroid,ICS,dm+d,408063002,Beclometasone 100micrograms/dose inhaler CFC free
Inhaled corticosteroid,ICS,dm+d,408064008,Beclometasone 100micrograms/dose breath actuated inhaler CFC free
Inhaled corticosteroid,ICS,dm+d,109781000001108,Beclometasone 400microgram inhalation powder capsules
Inhaled corticosteroid,ICS,dm+d,109941000001100,Beclometasone 200microgram inhalation powder capsules
Inhaled corticosteroid,ICS,dm+d,111721000001109,Fluticasone 2mg/2ml nebuliser liquid unit dose vials
Inhaled corticosteroid,ICS,dm+d,112121000001102,Salbutamol 400microgram / Beclometasone 200microgram inhalation powder capsules
Inhaled corticosteroid,ICS,dm+d,113791000001106,Fluticasone 500micrograms/2ml nebuliser liquid unit dose vials
Inhaled corticosteroid,ICS,dm+d,113851000001106,Beclometasone 100microgram inhalation powder capsules
Inhaled corticosteroid,ICS,dm+d,398511000001105,Flixotide 125micrograms/dose Evohaler (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,453611000001102,Seretide 50 Evohaler (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,539811000001106,Seretide 250 Evohaler (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,726611000001102,Flixotide 50micrograms/dose Evohaler (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,810211000001105,Seretide 125 Evohaler (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,2831211000001109,Flixotide 250micrograms/dose Evohaler (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,2924111000001109,Pulmicort 200micrograms/dose inhaler (AstraZeneca UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3086011000001108,Becodisks 100microgram (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3088611000001100,Becodisks 100microgram with Diskhaler (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3096011000001109,Becodisks 200microgram with Diskhaler (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3097711000001109,Flixotide 50microgram disks with Diskhaler (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3098611000001101,Flixotide 100microgram disks with Diskhaler (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3099611000001105,Flixotide 100microgram disks (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3099811000001109,Becodisks 200microgram (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3100811000001109,Flixotide 50microgram disks (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3102211000001109,Becodisks 400microgram with Diskhaler (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3103211000001103,Becloforte 400microgram disks with Diskhaler (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3103511000001100,Flixotide 250microgram disks (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3104911000001109,Becodisks 400microgram (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3105311000001107,Becloforte 400microgram disks (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3106311000001102,Flixotide 250microgram disks with Diskhaler (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3108411000001105,Flixotide 500microgram disks with Diskhaler (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3110511000001108,Flixotide 500microgram disks (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3111911000001108,Asmabec 50 Clickhaler (Focus Pharmaceuticals Ltd)
Inhaled corticosteroid,ICS,dm+d,3112411000001105,Pulmicort 200 Turbohaler (AstraZeneca UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3112511000001109,Asmabec 100 Clickhaler (Focus Pharmaceuticals Ltd)
Inhaled corticosteroid,ICS,dm+d,3112911000001102,Pulvinal Beclometasone Dipropionate 100micrograms/dose dry powder inhaler (Chiesi Ltd)
Inhaled corticosteroid,ICS,dm+d,3113111000001106,Pulmicort 100 Turbohaler (AstraZeneca UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3113411000001101,Pulvinal Beclometasone Dipropionate 200micrograms/dose dry powder inhaler (Chiesi Ltd)
Inhaled corticosteroid,ICS,dm+d,3174111000001102,Asmabec 250 Clickhaler (Focus Pharmaceuticals Ltd)
Inhaled corticosteroid,ICS,dm+d,3175111000001103,Pulvinal Beclometasone Dipropionate 400micrograms/dose dry powder inhaler (Chiesi Ltd)
Inhaled corticosteroid,ICS,dm+d,3175211000001109,Filair 50 inhaler (Meda Pharmaceuticals Ltd)
Inhaled corticosteroid,ICS,dm+d,3175611000001106,Qvar 100 inhaler (Teva UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3175711000001102,Beclometasone 50micrograms/dose inhaler (A A H Pharmaceuticals Ltd)
Inhaled corticosteroid,ICS,dm+d,3175911000001100,Beclometasone 50micrograms/dose inhaler (Viatris UK Healthcare Ltd)
Inhaled corticosteroid,ICS,dm+d,3176211000001103,Becotide 50 inhaler (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3176411000001104,Beclazone 50 inhaler (Teva UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3176711000001105,Beclometasone 50micrograms/dose inhaler (Kent Pharma (UK) Ltd)
Inhaled corticosteroid,ICS,dm+d,3176811000001102,Qvar 50 inhaler (Teva UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3177111000001107,Beclometasone 50micrograms/dose inhaler (Alliance Healthcare (Distribution) Ltd)
Inhaled corticosteroid,ICS,dm+d,3177411000001102,Qvar 50 Autohaler (Teva UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3177711000001108,Qvar 100 Autohaler (Teva UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3177911000001105,Filair 100 inhaler (Meda Pharmaceuticals Ltd)
Inhaled corticosteroid,ICS,dm+d,3178211000001102,Beclometasone 100micrograms/dose inhaler (A A H Pharmaceuticals Ltd)
Inhaled corticosteroid,ICS,dm+d,3178411000001103,Beclometasone 100micrograms/dose inhaler (Viatris UK Healthcare Ltd)
Inhaled corticosteroid,ICS,dm+d,3178611000001100,Becotide 100 inhaler (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3178811000001101,Beclazone 100 inhaler (Teva UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3179011000001102,Beclometasone 100micrograms/dose inhaler (Alliance Healthcare (Distribution) Ltd)
Inhaled corticosteroid,ICS,dm+d,3179311000001104,Becotide 200 inhaler (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3179511000001105,Beclazone 200 inhaler (Teva UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3179811000001108,Beclometasone 250micrograms/dose inhaler (A A H Pharmaceuticals Ltd)
Inhaled corticosteroid,ICS,dm+d,3180011000001102,Beclometasone 250micrograms/dose inhaler (Viatris UK Healthcare Ltd)
Inhaled corticosteroid,ICS,dm+d,3180211000001107,Becloforte 250micrograms/dose inhaler (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3180611000001109,Beclazone 250 inhaler (Teva UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3180911000001103,Beclometasone 250micrograms/dose inhaler (Alliance Healthcare (Distribution) Ltd)
Inhaled corticosteroid,ICS,dm+d,3181411000001102,AeroBec 100 Autohaler (Meda Pharmaceuticals Ltd)
Inhaled corticosteroid,ICS,dm+d,3181711000001108,Beclazone 100 Easi-Breathe inhaler (Teva UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3182411000001107,AeroBec Forte 250 Autohaler (Meda Pharmaceuticals Ltd)
Inhaled corticosteroid,ICS,dm+d,3182611000001105,Beclazone 250 Easi-Breathe inhaler (Teva UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3183811000001101,Flixotide 50micrograms/dose Accuhaler (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3184311000001107,Flixotide 100micrograms/dose Accuhaler (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3184911000001108,Flixotide 250micrograms/dose Accuhaler (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3185211000001103,Flixotide 500micrograms/dose Accuhaler (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3186911000001100,Seretide 100 Accuhaler (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3187211000001106,Seretide 250 Accuhaler (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3188311000001102,Seretide 500 Accuhaler (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3189711000001107,Beclometasone 100 Cyclocaps (Teva UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3190311000001103,Becotide 100microgram Rotacaps (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3192111000001101,Becotide 200microgram Rotacaps (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3192611000001109,Beclometasone 200 Cyclocaps (Teva UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3194011000001108,Becotide 400microgram Rotacaps (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3194511000001100,Beclometasone 400 Cyclocaps (Teva UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3197211000001105,Budesonide 200 Cyclocaps (Teva UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3198411000001108,Budesonide 400 Cyclocaps (Teva UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3200511000001109,Ventide Paediatric Rotacaps (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3202211000001107,Ventide Rotacaps (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3228711000001106,Pulmicort 400 Turbohaler (AstraZeneca UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3240911000001108,Pulmicort LS 50micrograms/dose inhaler (AstraZeneca UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3292811000001106,Ventide inhaler (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3294211000001101,Symbicort 100/6 Turbohaler (AstraZeneca UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3294611000001104,Symbicort 200/6 Turbohaler (AstraZeneca UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3389111000001102,Flixotide 0.5mg/2ml Nebules (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3397211000001103,Flixotide 2mg/2ml Nebules (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3432911000001109,Budesonide 200microgram inhalation powder capsules
Inhaled corticosteroid,ICS,dm+d,3433011000001101,Budesonide 400microgram inhalation powder capsules
Inhaled corticosteroid,ICS,dm+d,3604611000001104,Beclazone 50 Easi-Breathe inhaler (Teva UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3604911000001105,AeroBec 50 Autohaler (Meda Pharmaceuticals Ltd)
Inhaled corticosteroid,ICS,dm+d,3635411000001106,Pulmicort 0.5mg Respules (AstraZeneca UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3636511000001103,Pulmicort 1mg Respules (AstraZeneca UK Ltd)
Inhaled corticosteroid,ICS,dm+d,3654511000001105,Budesonide 500micrograms/2ml nebuliser liquid unit dose vials
Inhaled corticosteroid,ICS,dm+d,3654611000001109,Budesonide 1mg/2ml nebuliser liquid unit dose vials
Inhaled corticosteroid,ICS,dm+d,4043811000001103,Asmanex 400micrograms/dose Twisthaler (Organon Pharma (UK) Ltd)
Inhaled corticosteroid,ICS,dm+d,4045711000001107,Asmanex 200micrograms/dose Twisthaler (Organon Pharma (UK) Ltd)
Inhaled corticosteroid,ICS,dm+d,4332611000001107,Beclometasone 200micrograms/dose inhaler (A A H Pharmaceuticals Ltd)
Inhaled corticosteroid,ICS,dm+d,4373811000001100,Symbicort 400/12 Turbohaler (AstraZeneca UK Ltd)
Inhaled corticosteroid,ICS,dm+d,4378111000001103,Budesonide 400micrograms/dose / Formoterol 12micrograms/dose dry powder inhaler
Inhaled corticosteroid,ICS,dm+d,4753511000001101,Filair Forte 250micrograms/dose inhaler (Meda Pharmaceuticals Ltd)
Inhaled corticosteroid,ICS,dm+d,4773611000001100,Beclometasone 50micrograms/dose inhaler (Teva UK Ltd)
Inhaled corticosteroid,ICS,dm+d,4773811000001101,Beclometasone 100micrograms/dose inhaler (Teva UK Ltd)
Inhaled corticosteroid,ICS,dm+d,4774011000001109,Beclometasone 250micrograms/dose inhaler (Teva UK Ltd)
Inhaled corticosteroid,ICS,dm+d,4856011000001103,Flixotide 25micrograms/dose inhaler (GlaxoSmithKline UK Ltd)
Inhaled corticosteroid,ICS,dm+d,4860811000001104,Pulmicort 200micrograms/dose inhaler with Nebuchamber (AstraZeneca UK Ltd)
Inhaled corticosteroid,ICS,dm+d,4864911000001104,Budesonide 200micrograms/dose inhaler with spacer
Inhaled corticosteroid,ICS,dm+d,5256011000001101,Becloforte 250micrograms/dose inhaler (Waymade Healthcare Plc)
Inhaled corticosteroid,ICS,dm+d,5256411000001105,Becotide 200microgram Rotacaps (Waymade Healthcare Plc)
Inhaled corticosteroid,ICS,dm+d,5256611000001108,Becotide 100 inhaler (Waymade Healthcare Plc)
Inhaled corticosteroid,ICS,dm+d,5256811000001107,Becotide 50 inhaler (Waymade Healthcare Plc)
Inhaled corticosteroid,ICS,dm+d,5258111000001101,Budesonide 400micrograms/dose Turbohaler (Waymade Healthcare Plc)
Inhaled corticosteroid,ICS,dm+d,5261111000001103,Flixotide 100micrograms/dose Accuhaler (Waymade Healthcare Plc)
Inhaled corticosteroid,ICS,dm+d,5261411000001108,Flixotide 250micrograms/dose Accuhaler (Waymade Healthcare Plc)
Inhaled corticosteroid,ICS,dm+d,5262211000001102,Flixotide 500micrograms/dose Accuhaler (Waymade Healthcare Plc)
Inhaled corticosteroid,ICS,dm+d,5265811000001108,Flixotide 100microgram disks (Waymade Healthcare Plc)
Inhaled corticosteroid,ICS,dm+d,5266111000001107,Flixotide 250microgram disks (Waymade Healthcare Plc)
Inhaled corticosteroid,ICS,dm+d,5266711000001108,Flixotide 500microgram disks (Waymade Healthcare Plc)
Inhaled corticosteroid,ICS,dm+d,5267111000001105,Flixotide 125micrograms/dose Evohaler (Waymade Healthcare Plc)
Inhaled corticosteroid,ICS,dm+d,5268111000001106,Flixotide 250micrograms/dose Evohaler (Waymade Healthcare Plc)
Inhaled corticosteroid,ICS,dm+d,5273211000001102,Pulmicort 100 Turbohaler (Waymade Healthcare Plc)
Inhaled corticosteroid,ICS,dm+d,5273611000001100,Pulmicort 200 Turbohaler (Waymade Healthcare Plc)
Inhaled corticosteroid,ICS,dm+d,5273911000001106,Pulmicort 400 Turbohaler (Waymade Healthcare Plc)
Inhaled corticosteroid,ICS,dm+d,5275611000001101,Seretide 100 Accuhaler (Waymade Healthcare Plc)
Inhaled corticosteroid,ICS,dm+d,5276011000001104,Seretide 250 Accuhaler (Waymade Healthcare Plc)
Inhaled corticosteroid,ICS,dm+d,5276211000001109,Seretide 500 Accuhaler (Waymade Healthcare Plc)
Inhaled corticosteroid,ICS,dm+d,5276811000001105,Seretide 250 Evohaler (Waymade Healthcare Plc)
Inhaled corticosteroid,ICS,dm+d,5277211000001106,Symbicort 200/6 Turbohaler (Waymade Healthcare Plc)
Inhaled corticosteroid,ICS,dm+d,5278711000001103,Ventide inhaler (Waymade Healthcare Plc)
Inhaled corticosteroid,ICS,dm+d,5282711000001106,Becloforte 250micrograms/dose inhaler (Dowelhurst Ltd)
Inhaled corticosteroid,ICS,dm+d,5284411000001107,Becotide 200microgram Rotacaps (Dowelhurst Ltd)
Inhaled corticosteroid,ICS,dm+d,5284711000001101,Becotide 50 inhaler (Dowelhurst Ltd)
Inhaled corticosteroid,ICS,dm+d,5290911000001105,Flixotide 100micrograms/dose Accuhaler (Dowelhurst Ltd)
Inhaled corticosteroid,ICS,dm+d,5292311000001108,Flixotide 100microgram disks (Dowelhurst Ltd)
Inhaled corticosteroid,ICS,dm+d,5293111000001100,Flixotide 125micrograms/dose Evohaler (Dowelhurst Ltd)
Inhaled corticosteroid,ICS,dm+d,5293811000001107,Flixotide 250micrograms/dose Accuhaler (Dowelhurst Ltd)
Inhaled corticosteroid,ICS,dm+d,5294311000001101,Flixotide 250microgram disks (Dowelhurst Ltd)
Inhaled corticosteroid,ICS,dm+d,5294611000001106,Flixotide 250micrograms/dose Evohaler (Dowelhurst Ltd)
Inhaled corticosteroid,ICS,dm+d,5294811000001105,Flixotide 500micrograms/dose Accuhaler (Dowelhurst Ltd)
Inhaled corticosteroid,ICS,dm+d,5295011000001100,Flixotide 500microgram disks (Dowelhurst Ltd)
Inhaled corticosteroid,ICS,dm+d,5295211000001105,Flixotide 50micrograms/dose Accuhaler (Dowelhurst Ltd)
Inhaled corticosteroid,ICS,dm+d,5310511000001105,Pulmicort 0.5mg Respules (Dowelhurst Ltd)
Inhaled corticosteroid,ICS,dm+d,5311011000001106,Pulmicort 100 Turbohaler (Dowelhurst Ltd)
Inhaled corticosteroid,ICS,dm+d,5312311000001100,Pulmicort 1mg Respules (Dowelhurst Ltd)
Inhaled corticosteroid,ICS,dm+d,5313011000001107,Pulmicort 200 Turbohaler (Dowelhurst Ltd)
Inhaled corticosteroid,ICS,dm+d,5313811000001101,Pulmicort 400 Turbohaler (Dowelhurst Ltd)
Inhaled corticosteroid,ICS,dm+d,5317111000001100,Seretide 100 Accuhaler (Dowelhurst Ltd)
Inhaled corticosteroid,ICS,dm+d,5317311000001103,Seretide 250 Accuhaler (Dowelhurst Ltd)
Inhaled corticosteroid,ICS,dm+d,5317511000001109,Seretide 500 Accuhaler (Dowelhurst Ltd)
Inhaled corticosteroid,ICS,dm+d,5321011000001102,Symbicort 200/6 Turbohaler (Dowelhurst Ltd)
Inhaled corticosteroid,ICS,dm+d,5324211000001109,Ventide inhaler (Dowelhurst Ltd)
Inhaled corticosteroid,ICS,dm+d,5350011000001105,Budesonide 100micrograms/dose Turbohaler (Dowelhurst Ltd)
Inhaled corticosteroid,ICS,dm+d,5350211000001100,Budesonide 200micrograms/dose Turbohaler (Dowelhurst Ltd)
Inhaled corticosteroid,ICS,dm+d,5350411000001101,Budesonide 400micrograms/dose Turbohaler (Dowelhurst Ltd)
Inhaled corticosteroid,ICS,dm+d,5350911000001109,Fluticasone 125micrograms/dose Evohaler (Dowelhurst Ltd)
Inhaled corticosteroid,ICS,dm+d,5351111000001100,Fluticasone 250micrograms/dose Evohaler (Dowelhurst Ltd)
Inhaled corticosteroid,ICS,dm+d,5404711000001104,Pulmicort 0.5mg Respules (Waymade Healthcare Plc)
Inhaled corticosteroid,ICS,dm+d,5525411000001107,Becotide 100microgram Rotacaps (Dowelhurst Ltd)
Inhaled corticosteroid,ICS,dm+d,7379111000001102,Beclometasone 100micrograms/dose inhaler (Kent Pharma (UK) Ltd)
Inhaled corticosteroid,ICS,dm+d,7379311000001100,Beclometasone 250micrograms/dose inhaler (Kent Pharma (UK) Ltd)
Inhaled corticosteroid,ICS,dm+d,8024611000001102,Budesonide 200micrograms/dose dry powder inhalation cartridge with device
Inhaled corticosteroid,ICS,dm+d,8031811000001102,Budelin Novolizer 200micrograms/dose inhalation powder (Viatris UK Healthcare Ltd)
Inhaled corticosteroid,ICS,dm+d,8159511000001107,Qvar 50micrograms/dose Easi-Breathe inhaler (Teva UK Ltd)
Inhaled corticosteroid,ICS,dm+d,8159711000001102,Qvar 100micrograms/dose Easi-Breathe inhaler (Teva UK Ltd)
Inhaled corticosteroid,ICS,dm+d,9003911000001102,Alvesco 80 inhaler (Covis Pharma Europe B.V.)
Inhaled corticosteroid,ICS,dm+d,9004211000001109,Alvesco 160 inhaler (Covis Pharma Europe B.V.)
Inhaled corticosteroid,ICS,dm+d,9004411000001108,Ciclesonide 160micrograms/dose inhaler CFC free
Inhaled corticosteroid,ICS,dm+d,9004511000001107,Ciclesonide 80micrograms/dose inhaler CFC free
Inhaled corticosteroid,ICS,dm+d,9111811000001100,Budelin Novolizer 200micrograms/dose inhalation powder refill (Viatris UK Healthcare Ltd)
Inhaled corticosteroid,ICS,dm+d,9117811000001107,Budesonide 200micrograms/dose dry powder inhalation cartridge
Inhaled corticosteroid,ICS,dm+d,9525111000001105,Easyhaler Beclometasone 200micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)
Inhaled corticosteroid,ICS,dm+d,10073911000001106,Easyhaler Budesonide 100micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)
Inhaled corticosteroid,ICS,dm+d,10074411000001100,Easyhaler Budesonide 400micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)
Inhaled corticosteroid,ICS,dm+d,10074611000001102,Easyhaler Budesonide 200micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)
Inhaled corticosteroid,ICS,dm+d,10272811000001101,Budesonide 500micrograms/2ml nebuliser liquid unit dose vials (A A H Pharmaceuticals Ltd)
Inhaled corticosteroid,ICS,dm+d,10273211000001108,Budesonide 1mg/2ml nebuliser liquid unit dose vials (A A H Pharmaceuticals Ltd)
